Músicas,Álbuns,Artistas,Data de Lançamento,ISRC,Rank,Track Score,Explicit Track
No_se_ve.mp3,No_se_ve.mp3 - Single,Emilia,5/3/2023,QM6N22333334,"1,025",47.4,1
Lean On (feat. Mï¿½ï¿½ & DJ Snake) - J Balvin & Farruko R,Lean On (feat. Mï¿½ï¿½ & DJ Snake) [J Balvin & Farruko Re,Major Lazer,9/4/2015,FR6P11501180,"1,030",47.4,0
Arcade,Arcade,Duncan Laurence,3/7/2019,NL1TK1900001,"1,029",47.4,0
Ya Te Olvide,Ya Te Olvide,Natanael Cano,5/15/2024,QZ9QQ2400324,"1,032",47.4,0
How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,7/17/2015,GBARL1500704,"1,026",47.4,0
BUTTERFLY EFFECT,EPIC AF,Travis Scott,1/1/2017,USSM11704799,"1,028",47.4,0
Let You Down,Let You Down,NF,9/15/2017,USUM71708226,"1,034",47.2,0
FE!N (feat. Playboi Carti),FE!N (feat. Playboi Carti),Travis Scott,3/30/2024,USSM22301824,"1,033",47.2,1
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,MEDUZA,7/22/2022,GBUM72203666,"1,035",47.2,0
Yo Perreo Sola,YHLQMDLG,Bad Bunny,2/29/2020,QM4TX2030934,"1,036",47.1,0
ETA,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,USA2P2330071,"1,038",47.1,0
Jordan,Jordan,Ryan Castro,4/30/2021,FR96X2111994,"1,037",47.1,0
Take You Dancing,Take You Dancing,Jason Derulo,7/22/2020,USAT22004479,"1,039",47.1,0
BUBALU,BUBALU,Feid,9/22/2023,USUM72312321,"1,043",47.0,0
Be Alright,Be Alright,Dean Lewis,6/29/2018,AUUM71800255,"1,042",47.0,1
Jalebi Baby,Jalebi Baby,Tesher,11/13/2020,QZNWQ2070741,"1,041",47.0,0
Endless Summer,Endless Summer,Alan Walker,7/13/2023,NOG842305010,"1,040",47.0,1
Belly Dancer,Belly Dancer,Imanbek,2/18/2022,NLZ542200165,"1,047",46.9,0
Who Told You (feat. Drake),Who Told You (feat. Drake) - Single,J Hus,6/8/2023,GBARL2300716,"1,046",46.9,1
NIGHT DANCER,NIGHT DANCER - Single,imase,8/19/2022,JPPO02202918,"1,045",46.9,0
Yoksun,Yoksun - Single,Ebru Yaï¿½ï,2/2/2024,FR2X42424385,"1,048",46.9,0
DON'T YOU WORRY,Don't You Worry,Black Eyed Peas,6/16/2022,USSM12202555,"1,044",46.9,0
"Rowdy Baby (From ""Maari 2"")",U1 For Life,Dhanush,8/26/2020,IND291823075,"1,057",46.8,0
MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhï¿,1/10/2020,USRC11903813,"1,054",46.8,0
Pickup Man (feat. Post Malone),HIXTAPE Vol. 3: DIFFTAPE (Small Batch),HARDY,11/9/2023,USUG12305726,"1,055",46.8,0
Volando (Remix),Volando (Remix),Mora,7/8/2021,QMFME2105596,"1,052",46.8,1
Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2/5/2021,USUG12105524,"1,056",46.8,0
WORTH IT (feat. Don Toliver),WORTH IT (feat. Don Toliver),Offset,10/12/2023,USUM72313166,"1,050",46.8,1
Canï¿½ï¿½ï¿½t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & ,Canï¿½ï¿½ï¿½t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & S,Olivia Rodrigo,11/3/2023,USUG12307028,"1,053",46.8,0
Solteiro Forï¿½ï¿½ado - (Boiadeira Internacio,Solteiro Forï¿½ï¿½ado (Boiadeira Internacio,Ana Castela,7/7/2023,BX3022300019,"1,051",46.8,0
"Naina (From ""Crew"")","Naina (From ""Crew"") - Single",Diljit Dosanjh,3/5/2024,INT102400827,"1,049",46.8,0
Bel Bont El3areedh,Haflet Al'ahramat 2022 - Egypt,Hussain Aljassmi,12/19/2022,AEA142213346,"1,059",46.7,0
"Naa Ready (From ""Leo"")","Naa Ready (From ""Leo"")",Anirudh Ravichander,6/22/2023,INS172307161,"1,058",46.7,0
Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Piso 21,10/20/2017,MXF151700546,"1,061",46.6,0
Feel the POP,You had me at HELLO,ZEROBASEONE,5/13/2024,KRA492400588,"1,060",46.6,0
Diamonds,Unapologetic (Edited Version),Rihanna,1/1/2012,USUM71211793,"1,063",46.5,0
Fuera del mercado,@dannocean,Danny Ocean,2/17/2022,USWL12200098,"1,064",46.5,1
Poor People We,Poor People We,Harp and a monkey,11/28/2022,UKXN22273282,"1,062",46.5,0
El Cielo,El Cielo - Single,Sky Rompiendo,6/2/2023,USSD12300241,"1,068",46.4,1
ALL MY FELLAS,ALL MY FELLAS,Frizk,9/19/2023,QZTAZ2359846,"1,070",46.4,1
Bebefinn Song,Bebefinn Song - Single,Pinkfong,5/3/2024,KRE672300203,"1,069",46.4,0
BITTERSUITE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401987,"1,066",46.4,0
Me Fui de Vacaciones,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214894,"1,067",46.4,0
Talk (feat. Disclosure),Talk,Khalid,2/7/2019,USRC11900004,"1,065",46.4,0
Rompe La Dompe,Rompe La Dompe,Peso Pluma,12/28/2023,QMFMG2368181,"1,071",46.3,1
greedy sped up,greedy,Tate McRae,9/14/2023,USRC12302740,"1,074",46.2,1
Reloj,Reloj,Rauw Alejandro,10/22/2020,USSD12000471,"1,072",46.2,1
ýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single,ýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,3/22/2024,THSOH2402582,"1,073",46.2,0
Youï¿½ï¿½ï¿½re Mines Still (feat. ,Youï¿½ï¿½ï¿½re Mines Still (feat. ,Yung Bleu,10/15/2020,USWB12004394,"1,075",46.1,1
BADGYAL,SAKURA,SAIKO,4/26/2024,QM4TX2482887,"1,076",46.1,1
Sorry 4 The Wait,Sorry 4 The Wait,Lil Wayne,1/14/2022,USUG12106458,"1,079",46.0,1
DILUVIO,PLAYA SATURNO,Rauw Alejandro,7/7/2023,USSD12300302,"1,078",46.0,1
ZEZE (feat. Travis Scott & Offset),ZEZE (feat. Travis Scott & Offset),Kodak Black,10/12/2018,USAT21811523,"1,080",46.0,1
"Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"") - Single",Pritam,7/17/2022,INS172203702,"1,084",46.0,0
The Craving (single version),The Craving (single version) - Single,Twenty One Pilots,5/22/2024,USAT22403454,"1,083",46.0,0
Bartolito,20 GRANDES ï¿½ï¿½X,Duo Tiempo de Sol,10/5/2015,ARF061500454,"1,082",46.0,0
Peaches,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),Jack Black,4/7/2023,USQ4E2204040,"1,077",46.0,0
Counting stars,Until the morning 2,OneRepublic,8/4/2014,FR0Z50017635,"1,081",46.0,0
Take My Breath - Single Version,Take My Breath,The Weeknd,8/5/2021,USUG12102076,"1,085",45.9,0
Lavender Haze,Midnights,Taylor Swift,10/21/2022,USUG12205734,"1,090",45.9,1
KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,Oxlade,6/10/2022,QMEU32209358,"1,089",45.9,0
Toca o Trompete,Cadï¿½ï¿½ o After? P,Felipe Amorim,7/21/2023,BCOOP2300013,"1,087",45.9,1
Nobody Gets Me,SOS,SZA,12/9/2022,USRC12204598,"1,091",45.9,1
Sleep Well,Sleep Well - Single,CG5,2/16/2024,USA2P2406901,"1,086",45.9,0
Hei Apa Apa / Tik Tak Tik Tik,Nuansa Angkot 2023 - Vol. 1,Donny Fernanda,2/14/2023,FR59R2347368,"1,092",45.9,0
Glock In My Lap,SAVAGE MODE II,21 Savage,10/2/2020,USSM12006061,"1,088",45.9,1
overseas,overseas,Ken Carson,4/12/2024,USUM72403587,"1,095",45.8,1
CORAZï¿½ï¿½N VA,CORAZï¿½ï¿½N VA,Maria Becerra,6/22/2023,USWL12301086,"1,094",45.8,0
PUNTO G,Punto G,Quevedo,11/4/2022,BK4DA2202913,"1,096",45.8,0
"Muqabla (From ""Street Dancer 3D"")","Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,12/21/2019,INS181905922,"1,093",45.8,0
Ditto,Ditto,NewJeans,12/19/2022,USA2P2254487,"1,098",45.7,0
"Katchi Sera - From ""Think Indie""","Katchi Sera (From ""Think Indie"")",Sai Abhyankkar,1/22/2024,INT202404272,"1,099",45.7,0
Danza Kuduro - Cover,BEST CLUB 2023 TREND MIX,MUSIC LAB JPN,11/24/2023,TCJPX2397668,"1,097",45.7,1
Bubble Gum,How Sweet,NewJeans,5/24/2024,USA2P2414844,"1,101",45.6,0
Abejita Chiquitita,Las Canciones de Plim Plim Vol. 8,El Payaso Plim Plim,9/8/2023,ARLIB2220027,"1,102",45.6,0
Love wins all,Love wins all,IU,1/24/2024,KRA382400642,"1,100",45.6,0
PRINCESITA DE ...,ýýNFASIS,Jere Klein,12/1/2023,QMFMF2334329,"1,103",45.5,1
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,10/5/2021,USA2P2135437,"1,104",45.4,1
BABY HELLO,BABY HELLO - Single,Rauw Alejandro,6/23/2023,USSD12300274,"1,105",45.3,1
ONE CALL,ONE CALL,Rich Amiri,11/3/2023,QZJ842004052,"1,106",45.2,1
Pehle Bhi Main,ANIMAL,Vishal Mishra,11/24/2023,INS182303389,"1,111",45.2,0
Kill Bill,Kill Bill - Single,pasa michaelson,8/26/2023,GB8KE2318565,"1,156",45.2,1
2/Catorce,2/Catorce,Rauw Alejandro,2/14/2021,USSD12100059,"1,107",45.2,1
Ride,Ride,Twenty One Pilots,5/12/2015,USAT21500598,"1,110",45.2,0
Dusk Till Dawn (feat. Sia),Dusk Till Dawn (feat. Sia) - Single,ZAYN,9/8/2017,USRC11701783,"1,108",45.2,0
Rush,Rush,Troye Sivan,7/13/2023,AUUM72300170,"1,109",45.2,1
Physical,Physical,Dua Lipa,1/30/2020,GBAHT1901298,"1,115",45.1,0
Pumped Up Kicks,Pumped up Kicks,Foster The People,1/1/2010,USSM11002931,"1,113",45.1,0
Yes Indeed,Yes Indeed,Lil Baby,5/15/2018,USUM71806749,"1,112",45.1,1
Open Arms (feat. Travis Scott),SOS,SZA,12/8/2022,USRC12204602,"1,114",45.1,0
edamame (feat. Rich Brian),edamame,bbno$,7/24/2021,QMUY42100151,"1,117",45.0,1
Turn Down for What,Turn Down for What,DJ Snake,12/18/2013,USSM11308174,"1,116",45.0,0
Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,USUM72308543,"1,120",44.9,0
Smokin Out The Window,Smokin Out The Window,Bruno Mars,11/5/2021,USAT22105952,"1,121",44.9,0
Goin' Off,Goin' Off,Karan Aujla,5/9/2024,AUBEC2438653,"1,118",44.9,0
Close To You,Close To You,Gracie Abrams,6/7/2024,USUG12401775,"1,119",44.9,0
Pagli Dekhave Agarbatti,Pagli Dekhave Agarbatti,Neelkamal Singh,9/28/2023,INH102313673,"1,124",44.8,0
From The D To The A (feat. Lil Yachty),From The D To The A (feat. Lil Yachty),Tee Grizzley,3/17/2017,QMCE31700982,"1,122",44.8,1
Me Rehï¿½ï,Los Nï¿½ï¿½meros 1 De Los 40 (Music Inspires L,Danny Ocean,11/3/2017,USWL11900076,"1,126",44.8,0
Nonsense,emails i can't send,Sabrina Carpenter,7/15/2022,USUM72210708,"1,129",44.8,0
Run It Up (feat. Offset & Moneybagg Yo),Destined 2 Win,Lil Tjay,4/2/2021,USSM12101540,"1,127",44.8,1
Lose You To Love Me,Lose You To Love Me,Selena Gomez,10/23/2019,USUM71918727,"1,123",44.8,0
Worth It,Worth It,YK Osiris,2/8/2019,USUM71821752,"1,125",44.8,0
Fight The Feeling,Fight The Feeling,Rod Wave,3/31/2023,USQX92301922,"1,128",44.8,1
Axel F,Best of Crazy Hits,Crazy Frog,12/11/2009,DEAF71578230,"1,134",44.7,0
Robbery,Robbery,Juice WRLD,2/13/2019,USUG11900302,"1,131",44.7,1
Bebe Dame,Bebe Dame - Single,Fuerza Regida,12/16/2022,QZ9QQ2200182,"1,132",44.7,0
Green Green Grass,george ezra songs to play when the sun's out,George Ezra,3/22/2022,GBARL2200008,"1,133",44.7,0
Zihaal e Miskin,Zihaal e Miskin,Javed-Mohsin,5/25/2023,INUM72300284,"1,135",44.7,0
Fiel,Los Legendarios 001,Los Legendarios,2/4/2021,QM4TW2136314,"1,130",44.7,0
Neverita,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214882,"1,139",44.6,0
2002 - Remix,2002 (Remix),Shaun Reynolds,5/11/2018,QZ22B1944940,"1,136",44.6,0
No Se Va,No Se Va,Grupo Frontera,12/1/2022,USDA12211641,"1,137",44.6,0
Infinity,Feel Something,Jaymes Young,6/23/2017,USAT21700859,"1,138",44.6,0
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Highlights (Deluxe),The Weeknd,2/5/2021,USUG12303876,"1,142",44.5,1
adore u,adore u,Fred again..,8/11/2023,GBAHS2300908,"1,141",44.5,0
Numb Little Bug,Numb Little Bug,Em Beihold,1/28/2022,USUM72200626,"1,143",44.5,0
Feel It,Feel It (From The Original Series ï¿½ï¿½ï¿½Invincib,d4vd,3/28/2024,USUM72401132,"1,140",44.5,0
Loco Contigo (feat. J. Balvin & Tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",DJ Snake,6/13/2019,USUG11901580,"1,144",44.4,0
Faz um Vuk Vuk (Teto Espelhado),Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,7/20/2023,BX5EU2300034,"1,145",44.4,1
Suicidal,Melly vs. Melvin,YNW Melly,11/22/2019,QMCE31902585,"1,146",44.4,1
"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",Karan Sehmbi,2/12/2019,INS181900313,"1,149",44.3,0
Sky,Whole Lotta Red,Playboi Carti,12/25/2020,USUM72024699,"1,147",44.3,1
Love On,Love On,Selena Gomez,2/22/2024,USUM72318034,"1,148",44.3,0
Payphone,Overexposed Track By Track,Maroon 5,1/1/2012,USUM71203347,"1,153",44.2,1
Brickell,MANIFESTING 20-05,Feid,4/10/2024,USUG12402595,"1,150",44.2,1
I Like Me Better,I Like Me Better,Lauv,5/19/2017,GBWWP1702907,"1,152",44.2,0
RUNAWAY,RUNAWAY,OneRepublic,5/26/2023,USUM72304684,"1,154",44.2,0
Que Se Cuide,Que Se Cuide,Luis R Conriquez,5/3/2024,QZNJV2414655,"1,151",44.2,0
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,6/7/2019,AUFXV1900105,"1,155",44.1,0
On My Love,On My Love (Sped Up),Zara Larsson,9/12/2023,USSM12306769,"1,159",44.1,0
She Share Story,She Share Story,Shayne Orok,6/2/2020,QZHN52089091,"1,156",44.1,0
Mujeriego,Mujeriego - Single,Ryan Castro,12/17/2021,COSO12100328,"1,158",44.1,0
Miss The Rage (feat. Playboi Carti),Miss The Rage,Trippie Redd,5/7/2021,QZJ842000983,"1,160",44.1,1
TUTA GOLD,TUTA GOLD,Mahmood,2/7/2024,ITUM72400066,"1,157",44.1,0
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401030,"1,161",44.0,0
Dandini Dandini Dastana,"Hey Dostum, ï¿½ï¿",Derya Yildirim,2/10/2023,DEE882214257,"1,165",44.0,0
Florida!!! (feat. Florence + the Machine),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401035,"1,162",44.0,1
Legends,Legends,Juice WRLD,6/22/2018,USUG11801263,"1,166",44.0,1
Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,8/12/2016,USUM71603293,"1,164",44.0,1
King Size,Feed Tha Streets III,Roddy Ricch,11/18/2022,USAT22220949,"1,163",44.0,1
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,9/3/2021,USUG12104399,"1,168",43.9,1
Linger - SiriusXM Session,SiriusXM Session,Royel Otis,5/31/2024,FRX872443806,"1,171",43.9,0
SLOW DANCING IN THE DARK,SLOW DANCING IN THE DARK,Joji,9/12/2018,ZZOPM1800452,"1,167",43.9,1
BIPOLAR,BIPOLAR,Peso Pluma,9/7/2023,QMBZ92388584,"1,169",43.9,1
Addicted,Addicted (feat. Ink) - Single,Zerb,3/29/2024,NLRD52350359,"1,170",43.9,1
Besos Moja2,Besos Moja2,Wisin & Yandel,9/29/2022,USSD12200829,"1,176",43.8,0
Wake Up in the Sky,Wake Up in the Sky,Gucci Mane,9/14/2018,USAT21811087,"1,173",43.8,1
El Chico Del Apartamento 512 - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402909,"1,174",43.8,0
Papercut,Papercuts,Linkin Park,4/12/2024,USWB11201315,"1,177",43.8,0
Chanel,Chanel,Becky G,3/30/2023,USRC12300804,"1,175",43.8,0
Otro Trago,Sueï¿½ï,Sech,4/18/2019,QM9WM1900120,"1,172",43.8,1
Back In Blood (feat. Lil Durk),Back In Blood (feat. Lil Durk),Pooh Shiesty,11/6/2020,USAT22007048,"1,180",43.7,1
Jugaste y Sufrï¿,Corta Venas,Eslabon Armado,12/18/2020,USE7D2000268,"1,182",43.7,0
Una Foto Remix (feat. Emilia),Una Foto Remix (feat. Emilia),Mesita,1/5/2024,UYS642300003,"1,181",43.7,0
Religiously,Religiously,Bailey Zimmerman,3/17/2023,USWB12300537,"1,178",43.7,0
What Happened To Virgil (feat. Gunna),7220,Lil Durk,3/11/2022,USQX92200954,"1,179",43.7,1
Hello,Hello,Adele,10/23/2015,GBBKS1500214,"1,186",43.6,0
HAY LUPITA,HAY LUPITA - Single,Lomiiel,3/28/2024,QZHNA2429530,"1,187",43.6,0
Gatita,Gatita,Bellakath,10/5/2022,QZPLR2286558,"1,184",43.6,0
World on Fire,NATE SMITH (DELUXE),Nate Smith,4/28/2023,USRN12300006,"1,183",43.6,0
Love You Anyway,Love You Anyway,Luke Combs,2/10/2023,US6XF2100158,"1,185",43.6,0
MOJABI GHOST,DATA,Tainy,6/29/2023,USA2P2331985,"1,188",43.5,1
N95,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,USUM72208963,"1,194",43.4,1
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208792,"1,191",43.4,1
Volvï¿,La mï¿½ï¿½sica de @Gina Yei: #ConTodoElCorazï¿½ï¿½nYMï¿½ï¿½s (Banda Sono,Didi Romero,1/11/2023,QZTJ32100010,"1,192",43.4,0
You're Really Funny,Rly Funny - EP,Crocodyle,11/11/2022,QMEU32216759,"1,190",43.4,0
Papercut,Papercuts,Linkin Park,4/12/2024,USWB12401897,"1,193",43.4,0
Earned It (Fifty Shades Of Grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),The Weeknd,2/10/2015,USUG11500923,"1,195",43.4,1
Gucci Gang,Gucci Gang,Lil Pump,8/31/2017,USWB11701486,"1,189",43.4,1
La Bebe,LPM,Yng Lvcas,12/24/2021,QZTAT2174000,"1,198",43.3,1
Jaded,Endless Summer Vacation,Miley Cyrus,3/10/2023,USSM12209778,"1,197",43.3,1
Bye,Bye,Peso Pluma,5/26/2023,QM6P42321186,"1,196",43.3,1
L$d,Deaf 2 Society,Luclover,4/22/2022,QZHN42243265,"1,199",43.3,1
Wolves,Wolves,Selena Gomez,10/25/2017,USUM71712103,"1,200",43.3,0
Scars To Your Beautiful,Know-It-All,Alessia Cara,11/13/2015,USUM71506811,"1,201",43.2,0
FRI(END)S,FRI(END)S,V,3/15/2024,USA2P2411822,"1,203",43.2,0
Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,11/19/2021,USWD12112914,"1,204",43.2,0
Volver Al Futuro,Volver Al Futuro,Oscar Maydon,5/30/2024,QZ9QQ2400330,"1,202",43.2,0
Praise God,Donda,Kanye West,8/29/2021,USUM72116287,"1,208",43.1,0
Friesenjung,Friesenjung,Ski Aggu,5/25/2023,DE1FB2300037,"1,205",43.1,1
El Azul,El Azul - Single,Junior H,2/10/2023,QZ9QQ2300115,"1,206",43.1,0
EARFQUAKE,IGOR,"Tyler, The Creator",5/17/2019,USQX91901111,"1,207",43.1,1
Ya Supï¿½ï¿½rame (En V,Ya Supï¿½ï¿½rame (En Vivo) - Si,Grupo Firme,8/13/2021,QZDQH2148787,"1,210",43.0,0
if u think i'm pretty,if u think i'm pretty,Artemas,10/24/2023,QZTB92397158,"1,212",43.0,1
Fin de Semana,Fin de Semana,Oscar Maydon,1/13/2023,QZ9QQ2300040,"1,211",43.0,0
Everybody (feat. Lil Uzi Vert),Pink Friday 2,Nicki Minaj,12/7/2023,USUM72318678,"1,209",43.0,0
Every Breath You Take,Learned from Love,Bonnie Kimmel,5/26/2017,ES8481701126,"1,215",42.9,0
My Oh My (feat. DaBaby),Romance,Camila Cabello,12/6/2019,USSM11914257,"1,218",42.9,0
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,10/23/2020,US6XF2000192,"1,217",42.9,0
Fried (She a Vibe),WE DON'T TRUST YOU,Future,3/22/2024,USSM12402032,"1,216",42.9,1
123 Song,123 Song,D Billions,10/23/2019,FR96X1996525,"1,214",42.9,0
Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,7/20/2020,USUM72014370,"1,213",42.9,1
Numb,Numb,Marshmello,6/10/2022,USRC12202117,"1,219",42.9,0
Ojapiano,Ojapiano - Single,KCee,6/3/2023,QZNJW2329848,"1,222",42.8,0
Area Codes,Area Codes,Kaliii,3/17/2023,USAT22301942,"1,220",42.8,1
Medallo,Hecho En Medellï¿½,Blessd,10/27/2021,COA6W2102282,"1,224",42.8,1
Domingo Abacaxi Flamingo,Domingo Abacaxi Flamingo,Bolofofos,9/2/2020,CACWV2000813,"1,221",42.8,0
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/2013,AULI01385760,"1,223",42.8,0
Ch y la Pizza,Ch y la Pizza,Fuerza Regida,12/1/2022,QZ9QQ2200104,"1,230",42.7,1
In Ha Mood,In Ha Mood,Ice Spice,1/6/2023,USUG12300365,"1,234",42.7,1
POR QUï¿½ï¿½ SE,POR QUï¿½ï¿½ SE,Grupo Frontera,5/9/2024,FRX452426440,"1,225",42.7,0
ALL MINE,WASTELAND,Brent Faiyaz,7/8/2022,QM24S2203185,"1,232",42.7,1
Let Me Know (I Wonder Why Freestyle),Sucker,Juice WRLD,7/1/2019,USUG11903494,"1,231",42.7,1
The Night We Met,The Night We Met,Lord Huron,2/9/2015,US53Q1200103,"1,226",42.7,0
Playa Del Inglï¿½,Playa Del Inglï¿½ï¿½s - Si,Quevedo,12/15/2022,ES5152201707,"1,227",42.7,0
BOO!SHUT,BOO!SHUT,PIGGS,3/24/2023,JPU902300754,"1,233",42.7,0
HOLA PERDIDA REMIX,HOLA PERDIDA REMIX,Luck Ra,5/31/2024,CLPP22400062,"1,228",42.7,0
Talk,Talk,Yeat,9/2/2022,USUM72216448,"1,229",42.7,1
Now And Then,Now And Then,The Beatles,11/2/2023,GBUM72203947,"1,235",42.6,0
Sign on the Door,Sign on the Door,Dora Lachaise,3/29/2023,GBU2Z2200001,"1,236",42.6,0
For Life (feat. Zak Abel & Nile Rodgers),For Life (feat. Zak Abel & Nile Rodgers),Kygo,4/19/2024,USRC12400376,"1,240",42.6,0
Kya Loge Tum,Kya Loge Tum,B Praak,5/15/2023,INUM72300286,"1,238",42.6,0
California Breeze,It's Only Me,Lil Baby,10/14/2022,USUG12207230,"1,237",42.6,1
Nonstop,Scorpion,Drake,6/29/2018,USCM51800191,"1,239",42.6,1
LOVE DIVE,LOVE DIVE,IVE,4/5/2022,KRA382204375,"1,243",42.5,0
Alucin,Alucin,Eugenio Esquivel,11/17/2023,QMFMF2346943,"1,242",42.5,1
Go Stupid,Go Stupid,Polo G,2/14/2020,USQX92000261,"1,241",42.5,1
POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,7/17/2020,USSM12004501,"1,247",42.4,1
Qual ï¿½ï¿½ o seu des,Qual ï¿½ï¿½ seu des,Tz da Coronel,2/29/2024,BC2TS2400002,"1,244",42.4,1
Lovesick Girls,THE ALBUM,BLACKPINK,10/2/2020,KRA402000136,"1,248",42.4,0
Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),Clean Bandit,5/17/2018,GBAHS1800328,"1,246",42.4,0
Una Vida Pasada,Una Vida Pasada,Camilo,4/2/2024,USSD12400106,"1,249",42.4,0
Steven Universe,Steven Universe,L.Dre,2/21/2020,QZFZ32084911,"1,245",42.4,0
places to be,places to be,Fred again..,5/31/2024,GBAHS2400279,"1,250",42.4,1
ASI ES LA VIDA,ASI ES LA VIDA,Enrique Iglesias,9/28/2023,USSD12300536,"1,254",42.3,0
Corazï¿½,Corazï¿½,Maluma,11/3/2017,USSD11700459,"1,251",42.3,0
Elvira,Elvira,Oscar Maydon,12/20/2023,QZ9QQ2300978,"1,255",42.3,1
Fantasias,Fantasias,Rauw Alejandro,8/29/2019,QM6P41989279,"1,253",42.3,0
El Jefe,El Jefe,Shakira,9/20/2023,USQX92305281,"1,252",42.3,1
Am,AM,Nio Garcia,1/28/2021,QM4TW2137909,"1,257",42.2,1
Te Lo Agradezco,Te Lo Agradezco,Kany Garcï¿½,7/27/2023,US5022300029,"1,258",42.2,0
PLEBADA,PLEBADA,El Alfa,6/8/2023,QM6P42370020,"1,260",42.2,0
Danza Kuduro - Cover,CLUB SONG MIX 2023,MUSIC LAB JPN,11/10/2023,TCJPX2395275,"1,261",42.2,1
Marea (Weï¿½ï¿½ï¿½ve Lost Da,Marea (Weï¿½ï¿½ï¿½ve Lost Da,Fred again..,2/22/2021,GBAHS2100041,"1,259",42.2,0
Fall In Love,Fall In Love,Bailey Zimmerman,2/11/2022,USWB12200122,"1,262",42.2,0
Cupid,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,KSA012239180,"1,256",42.2,0
Dj Gamm Gamm Piri Slow,Dj Gamm Gamm Piri Slow,DJ BAHBUS,9/28/2022,SGB502262965,"1,265",42.1,0
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401036,"1,264",42.1,0
Waiting For Love,Ibiza Residence 2015,Avicii,1/1/2015,CHB701400134,"1,263",42.1,0
BOMBï¿½,LEGENDADDY,Daddy Yankee,3/25/2022,USUG12201723,"1,272",42.0,1
Hello,Hello,Muramatsu Karaoke,12/4/2015,USE831522275,"1,268",42.0,0
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,4/30/2021,USSM12102263,"1,271",42.0,1
Mo Bamba,Mo Bamba,Sheck Wes,9/19/2017,QM24S1703585,"1,266",42.0,1
Bank Account,Issa Album,21 Savage,7/6/2017,USSM11705546,"1,267",42.0,1
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Highlights (Deluxe),The Weeknd,2/5/2021,USUG12303881,"1,269",42.0,0
